,time,p_loss,v_loss,steps
0,0.0,-1.083984375,11.7109375,23
1,0.04336,0.0689697265625,0.2403564453125,14
2,0.09694,7.68359375,74.6875,17
3,0.13995,9.15625,19.109375,14
4,0.18488,3.5859375,20.859375,14
5,0.26827,3.94140625,10.7421875,27
6,0.3197,0.1627197265625,0.1051025390625,17
7,0.35532,1.1953125,1.912109375,12
8,0.46442,1.103515625,2.3203125,36
9,0.55387,2.25390625,6.46484375,30
10,0.60625,1.0205078125,1.3095703125,17
11,0.66395,2.361328125,6.5546875,19
12,0.72063,2.28515625,6.0859375,19
13,0.75682,2.37109375,5.30078125,12
14,0.83396,3.990234375,25.859375,26
15,0.88053,6.32421875,42.96875,15
16,0.93408,10.40625,106.6875,18
17,0.98812,3.361328125,10.640625,18
18,1.09504,3.439453125,20.140625,36
19,1.132,3.841796875,15.015625,12
20,1.20399,2.275390625,6.01953125,24
21,1.31356,7.41796875,67.9375,37
22,1.35406,8.71875,72.8125,13
23,1.54561,6.82421875,22.5625,65
24,1.6102,1.5439453125,2.578125,21
25,1.756,5.5546875,50.65625,49
26,1.83971,6.5078125,44.15625,28
27,1.90335,3.8984375,14.3828125,21
28,1.94784,5.19140625,27.03125,15
29,2.06946,16.0625,475.75,41
30,2.12391,7.33984375,50.09375,18
31,2.25247,8.2734375,91.3125,43
32,2.28697,25.96875,533.5,10
33,2.32309,19.375,548.5,12
34,2.37102,17.21875,237.375,16
35,2.44968,7.31640625,49.78125,26
36,2.54899,6.48046875,41.28125,33
37,2.67712,4.515625,26.703125,43
38,2.76863,9.015625,86.5625,31
39,2.83421,12.5,167.0,22
40,3.0308,14.1484375,422.25,66
41,3.15298,5.40234375,33.75,41
42,3.24558,7.3203125,61.65625,31
43,3.33767,6.61328125,45.5625,31
44,3.38931,8.3671875,74.0,17
45,3.48843,6.2734375,42.0625,33
46,3.72506,18.265625,274.75,78
47,3.78262,10.328125,106.5,19
48,3.9903,12.8515625,237.875,70
49,4.14431,25.234375,700.0,52
50,4.32608,15.5703125,281.5,61
51,4.48334,13.3203125,186.125,53
52,4.58836,13.4296875,195.625,35
53,4.65711,11.703125,129.875,23
54,4.82795,25.296875,805.0,57
55,5.0128,12.953125,210.25,61
56,5.12634,13.9140625,157.625,38
57,5.35509,13.7421875,253.5,77
58,5.49478,13.90625,206.875,46
59,5.55683,17.75,317.25,21
60,5.70217,17.5,359.75,49
61,5.95173,19.90625,599.5,84
62,6.13334,11.71875,212.75,60
63,6.2392,22.78125,506.25,35
64,6.32436,24.203125,535.5,28
65,6.38764,15.1015625,207.75,21
66,6.56615,11.7421875,235.875,60
67,6.7612,22.484375,648.5,66
68,7.01656,26.875,1032.0,86
69,7.07862,23.90625,553.5,21
70,7.28674,14.0078125,351.5,70
71,7.73445,18.90625,527.0,151
72,7.86426,19.78125,409.5,44
73,8.06106,26.65625,669.5,67
74,8.17438,26.953125,677.0,38
75,8.45102,44.90625,2140.0,93
76,8.66627,31.015625,941.0,73
77,8.8249,38.21875,1480.0,53
78,9.02608,27.6875,726.5,68
79,9.23486,24.4375,645.5,70
80,9.5691,27.46875,953.5,113
81,9.62667,21.84375,449.0,19
82,9.83268,23.328125,527.5,69
83,9.89912,53.71875,2292.0,22
84,10.14686,23.546875,693.0,84
85,10.49845,36.375,1416.0,119
86,10.70935,20.46875,416.5,71
87,10.7806,26.140625,652.0,24
88,10.94568,32.8125,1036.0,56
89,11.26999,32.71875,1026.0,108
90,11.45485,23.65625,531.0,62
91,12.08068,21.734375,886.0,220
92,12.33948,55.8125,2886.0,92
93,12.43007,32.71875,1068.0,32
94,12.89836,34.34375,1578.0,166
95,13.00362,43.34375,1785.0,37
96,13.11223,38.4375,1330.0,38
97,13.1892,32.03125,1026.0,27
98,13.699,45.59375,2724.0,181
99,14.26468,58.40625,3638.0,200
100,16.33662,41.0,1026.0,251
101,16.54812,49.65625,1814.0,75
102,16.93888,29.5625,1223.0,138
103,17.05175,46.28125,2008.0,40
104,17.89407,24.90625,843.0,300
105,18.06955,105.0625,10224.0,62
106,18.18577,51.625,2316.0,41
107,18.67508,34.8125,1148.0,174
108,18.90952,78.625,5568.0,82
109,19.94781,23.515625,1068.0,368
110,20.24991,70.4375,4292.0,107
111,20.39939,51.09375,2320.0,53
112,21.58575,33.53125,1663.0,421
113,22.33126,54.34375,1249.0,264
114,22.84836,60.28125,1633.0,182
115,23.54372,26.0,594.0,246
116,23.77428,77.9375,9048.0,82
117,24.40954,73.9375,5040.0,227
118,24.54228,54.625,2780.0,47
