,time,p_loss,v_loss,steps
0,0.0,-1.3086247444152832,1.4148647785186768,26
1,0.04795,-1.0902327299118042,1.1314715147018433,14
2,0.08515,-1.2838435173034668,1.5054830312728882,12
3,0.14323,-1.1239179372787476,1.1143742799758911,19
4,0.21082,-1.0076428651809692,0.8746307492256165,22
5,0.29058,-0.979416012763977,0.8271238207817078,26
6,0.37261,-0.9014642834663391,0.6416825652122498,27
7,0.43423,-0.7855237722396851,0.5123978853225708,20
8,0.48343,-0.7754677534103394,0.5360282063484192,16
9,0.5747,-0.6787692308425903,0.3186483681201935,30
10,0.67551,-0.5897256135940552,0.17319583892822266,33
11,0.78557,-0.41607505083084106,0.05977560579776764,36
12,0.82544,-0.1531124860048294,0.01144987903535366,13
13,0.86588,-0.2174638956785202,0.031808096915483475,13
14,0.93119,0.11732704192399979,0.08028195053339005,21
15,0.99716,-0.22788618505001068,0.017902128398418427,21
16,1.08066,-0.023282404989004135,0.033471930772066116,27
17,1.14646,0.12511512637138367,0.04999510571360588,21
18,1.25421,-0.03812122344970703,0.04444359615445137,35
19,1.33575,0.4658338725566864,0.4300193786621094,26
20,1.37416,1.0757919549942017,1.3647642135620117,12
21,1.4605,0.5539857745170593,0.5955325365066528,28
22,1.52772,1.829094409942627,4.394405364990234,22
23,1.56477,1.749936819076538,3.3073785305023193,12
24,1.61428,0.9222409129142761,1.0377936363220215,16
25,1.70264,1.3323394060134888,2.572528600692749,28
26,1.73632,2.7480955123901367,8.192098617553711,11
27,1.80701,2.9342939853668213,10.187158584594727,23
28,1.87466,1.3404022455215454,2.308650016784668,22
29,1.90838,1.8535845279693604,3.7017393112182617,11
30,1.97016,3.891322374343872,16.299591064453125,20
31,2.01305,3.3271193504333496,11.740996360778809,14
32,2.11995,1.7798011302947998,5.005847930908203,35
33,2.16244,3.1458852291107178,10.494669914245605,14
34,2.1998,2.1839077472686768,5.05797004699707,12
35,2.22814,3.696930408477783,13.78410816192627,9
36,2.28903,3.6070241928100586,14.08908462524414,20
37,2.3408,4.838277339935303,24.722217559814453,17
38,2.37496,6.369332790374756,40.16736602783203,11
39,2.41318,5.649350166320801,31.343658447265625,12
40,2.47162,3.391343593597412,12.188703536987305,19
41,2.51443,3.740050792694092,14.724903106689453,14
42,2.56283,3.8175504207611084,15.577107429504395,16
43,2.6128,2.236377239227295,5.4437432289123535,16
44,2.69847,4.502863883972168,23.318803787231445,28
45,2.72647,6.010288238525391,35.27048873901367,9
46,2.77273,2.8999245166778564,8.890751838684082,15
47,2.83761,3.009997844696045,10.084220886230469,21
48,2.88033,5.672025680541992,33.55442810058594,14
49,2.91788,4.458047389984131,20.260541915893555,12
50,3.05132,5.3296217918396,42.16616439819336,44
51,3.10038,8.635723114013672,76.20073699951172,16
52,3.15919,4.13330078125,17.73978614807129,19
53,3.20233,8.706766128540039,76.46585083007812,14
54,3.23595,6.647450923919678,43.323585510253906,11
55,3.33875,3.465517044067383,14.703371047973633,34
56,3.39442,7.90081262588501,65.78156280517578,18
57,3.61995,4.208916664123535,36.456787109375,74
58,3.66902,8.687174797058105,76.51167297363281,16
59,3.78933,8.780576705932617,88.27782440185547,39
60,3.90735,6.640642166137695,50.394676208496094,38
61,3.95912,9.106118202209473,84.3822250366211,17
62,4.07238,7.996798038482666,70.95882415771484,37
63,4.16598,13.014863014221191,173.50131225585938,31
64,4.20914,7.188964366912842,51.72788619995117,14
65,4.24286,11.026139259338379,119.0527114868164,11
66,4.33695,7.606564521789551,60.90085220336914,31
67,4.40344,9.737353324890137,98.26736450195312,22
68,4.56349,7.956441879272461,85.90117645263672,53
69,4.71727,9.055246353149414,102.26221466064453,51
70,4.77945,10.370699882507324,107.11944580078125,20
71,4.83976,14.74601936340332,219.7013702392578,20
72,4.91564,9.784811019897461,92.65303802490234,25
73,5.11334,12.465609550476074,211.7648162841797,65
74,5.17041,12.333505630493164,151.1314239501953,19
75,5.37679,12.537219047546387,193.06239318847656,68
76,5.44072,16.44638442993164,261.1835632324219,21
77,5.69713,13.246807098388672,234.74266052246094,85
78,5.76494,16.89897918701172,274.9844970703125,22
79,5.86155,19.78974723815918,387.851318359375,32
80,5.9648,19.740726470947266,365.5616760253906,34
81,6.0474,14.296141624450684,199.4027099609375,27
82,6.0964,15.445082664489746,232.6125946044922,16
83,6.1718,13.774964332580566,185.7913818359375,24
84,6.28183,15.274038314819336,232.44261169433594,36
85,6.38526,15.077702522277832,231.97438049316406,34
86,6.43986,13.860036849975586,194.8086700439453,18
87,6.50526,14.307867050170898,190.40728759765625,21
88,6.57744,18.46816635131836,344.3430480957031,24
89,6.80183,13.775578498840332,243.16635131835938,74
90,6.85795,15.945196151733398,247.76145935058594,18
91,6.90782,18.109140396118164,308.7818908691406,16
92,6.99526,15.999886512756348,240.12696838378906,29
93,7.26716,14.966229438781738,301.0225830078125,90
94,7.3461,16.373825073242188,256.56683349609375,26
95,7.40863,16.720012664794922,272.96234130859375,20
96,7.5591,15.957406997680664,265.32598876953125,50
97,7.72308,17.136547088623047,301.4676513671875,54
98,7.80796,17.891983032226562,315.4485168457031,28
99,8.23238,20.785924911499023,1110.39501953125,138
100,8.50651,21.106992721557617,414.1517028808594,26
101,8.63946,21.77526092529297,455.5043029785156,40
102,8.69265,24.25782585144043,552.235107421875,16
103,9.08207,40.072532653808594,1684.630859375,118
104,9.1586,21.002626419067383,401.7537841796875,23
105,9.23551,22.75478744506836,492.8606872558594,23
106,9.40417,21.772130966186523,466.41937255859375,51
107,9.50981,25.385211944580078,587.2644653320312,32
