,time,p_loss,v_loss,steps
0,0.0,-1.193359375,5.10546875,31
1,0.9261,0.39453125,0.77099609375,53
2,1.37792,-0.7490234375,0.5234375,26
3,3.16799,1.2421875,2.947265625,80
4,4.22438,-0.4169921875,0.045745849609375,53
5,4.66785,0.0723876953125,0.02117919921875,24
6,5.64699,1.591796875,3.6484375,54
7,6.43897,2.03515625,5.3203125,44
8,7.73681,0.78662109375,1.779296875,72
9,8.44217,1.1357421875,1.8369140625,38
10,9.09326,1.919921875,4.5390625,34
11,10.08451,4.63671875,27.1875,50
12,10.71553,1.26953125,1.93359375,29
13,11.64211,5.69140625,37.03125,42
14,12.60598,4.5546875,24.296875,42
15,14.35341,8.1640625,117.75,67
16,15.21294,3.283203125,12.5,40
17,15.54452,2.818359375,8.140625,18
18,16.4633,5.0078125,32.84375,51
19,17.00505,3.26953125,11.84375,30
20,17.88443,7.98046875,77.375,50
21,18.52007,4.796875,16.0625,35
22,19.08227,10.671875,121.875,29
23,20.87952,17.46875,463.0,78
24,22.24615,5.55859375,46.625,72
25,23.28619,7.296875,68.0625,59
26,24.76036,17.265625,331.25,64
27,26.08701,8.8515625,99.0625,69
28,26.70738,14.9375,226.0,35
29,27.06644,15.875,253.0,20
30,27.88882,22.8125,573.0,47
31,29.01522,25.625,717.0,63
32,29.48526,15.6015625,234.5,25
33,32.1976,12.15625,264.5,133
34,33.12466,19.03125,371.25,47
35,34.35387,18.3125,372.25,69
36,34.68627,17.59375,300.25,17
37,35.25019,36.9375,1208.0,30
38,35.92221,17.890625,319.5,38
39,36.88732,36.15625,1280.0,55
40,37.7797,16.421875,281.0,51
41,38.36924,17.96875,329.75,34
42,39.01038,22.359375,503.5,36
43,39.80039,17.546875,304.5,43
44,42.34072,34.375,1830.0,145
45,42.86904,24.453125,574.0,30
46,43.60251,44.90625,2014.0,41
47,45.45871,44.8125,2310.0,106
48,46.47247,54.53125,2386.0,58
49,48.29894,31.28125,932.0,81
50,49.6284,27.796875,753.5,70
51,50.45755,21.046875,445.0,48
52,51.63717,35.09375,1283.0,67
53,52.46288,27.328125,756.0,46
54,54.02981,17.21875,326.25,87
55,54.63416,30.28125,876.0,33
56,56.02313,46.78125,2102.0,60
57,57.51915,17.71875,320.0,79
58,58.60916,34.625,1283.0,62
59,59.36941,36.09375,950.5,44
60,60.1368,29.234375,835.5,44
61,60.80935,38.59375,1648.0,36
62,61.88716,29.5625,1093.0,60
63,64.09511,24.578125,663.0,104
64,64.8957,31.96875,935.0,37
65,65.71788,28.25,767.5,43
66,67.63846,24.109375,577.5,85
67,68.78974,32.46875,1028.0,58
68,69.63457,18.125,319.0,45
69,70.21997,36.8125,1120.0,32
70,70.54462,23.859375,847.5,17
71,71.78275,34.25,1129.0,49
72,74.57886,21.1875,539.0,130
73,76.41949,43.9375,1608.0,95
74,78.15947,18.671875,404.5,98
75,80.93236,42.625,2156.0,135
76,81.78524,40.78125,1303.0,41
77,82.11733,40.90625,1603.0,18
78,82.55525,27.453125,730.5,24
79,85.65054,44.1875,1936.0,153
80,86.57503,41.6875,1663.0,44
81,89.88354,29.34375,996.0,162
82,90.82783,36.65625,1260.0,46
83,91.89166,29.015625,810.5,59
84,92.81933,34.6875,1145.0,52
85,94.42179,45.90625,1650.0,89
86,96.86478,26.65625,737.5,135
87,99.67934,31.578125,1154.0,137
88,100.65027,40.28125,1533.0,47
89,101.99984,42.0,1411.0,69
90,103.173,40.1875,1444.0,59
91,104.85621,37.28125,1305.0,81
92,107.71118,35.21875,1560.0,125
93,110.09238,38.25,1339.0,110
94,114.46004,26.34375,791.0,209
95,116.38236,43.15625,1735.0,98
96,117.88087,42.96875,2014.0,82
97,119.03304,44.4375,1785.0,59
98,124.56945,57.90625,3452.0,264
99,129.38505,24.890625,656.0,220
100,130.5632,60.0,2902.0,53
101,131.67777,31.890625,850.0,56
102,134.80661,25.4375,623.5,162
103,135.78967,46.625,2094.0,55
104,137.07424,59.96875,2652.0,70
105,138.58761,23.265625,517.0,61
106,139.88908,46.78125,2174.0,61
107,141.73962,27.984375,757.0,83
108,142.48893,44.375,2102.0,35
109,144.21721,26.6875,701.5,95
110,145.17363,21.375,433.75,52
111,146.74882,20.328125,423.5,68
112,147.74505,20.75,406.25,55
113,148.58836,39.28125,1533.0,46
114,150.12621,36.125,1413.0,65
115,151.44638,23.265625,507.75,65
116,157.08376,16.203125,367.5,277
117,157.80881,53.34375,2698.0,24
118,158.67042,42.28125,1707.0,45
119,160.20661,26.515625,668.0,83
120,161.96524,35.96875,1188.0,74
121,162.77008,46.5625,2048.0,38
122,166.45683,21.078125,506.25,182
123,167.48134,38.59375,1346.0,50
124,168.52674,22.0625,461.5,56
125,171.45653,23.21875,558.0,140
126,174.88823,19.6875,412.0,161
127,176.16339,22.640625,499.25,58
128,177.12192,42.34375,1504.0,49
129,178.25549,44.40625,1958.0,62
130,179.49402,37.625,1339.0,67
131,183.38095,20.59375,471.75,197
132,184.99693,54.21875,2518.0,82
133,186.50215,37.34375,1475.0,83
134,188.7291,46.1875,1844.0,122
135,189.36439,36.28125,1225.0,33
136,190.42952,24.78125,583.0,57
137,191.49329,40.75,1608.0,58
138,193.27734,41.5,1150.0,96
139,194.26524,32.4375,994.0,54
140,197.05673,26.96875,883.0,132
141,199.04864,27.15625,696.5,103
142,202.59188,21.234375,538.5,179
143,204.21916,27.15625,745.0,83
144,208.64635,33.15625,1229.0,224
145,210.87245,43.40625,1671.0,94
146,214.07874,25.484375,626.0,169
147,216.47152,33.21875,1227.0,130
148,217.41918,27.453125,696.5,52
149,218.02246,51.875,2516.0,33
150,220.75274,30.96875,835.5,148
151,225.42061,35.65625,2025.0,227
152,230.34696,35.15625,1942.0,248
153,233.18589,38.40625,1199.0,131
154,236.20466,40.5625,1492.0,142
155,238.91509,58.71875,3282.0,123
156,240.2649,27.109375,716.5,69
157,241.19295,31.59375,910.5,51
158,242.16204,34.8125,1139.0,54
159,248.37797,70.8125,4532.0,325
160,249.8061,55.40625,2892.0,65
161,254.64132,67.875,4264.0,244
162,255.96813,41.875,1663.0,66
163,260.73524,26.75,791.0,236
164,266.76704,77.6875,4412.0,300
165,271.05267,57.9375,2750.0,227
166,274.71996,34.28125,1137.0,181
167,279.83558,69.375,4580.0,250
168,281.23671,37.625,976.5,69
169,281.78294,53.53125,3680.0,29
170,283.78259,40.875,1590.0,109
171,286.01198,28.34375,862.0,100
172,292.12892,62.90625,3466.0,308
173,301.78125,46.28125,2454.0,500
174,303.15854,36.90625,1240.0,69
175,304.657,43.3125,1702.0,80
176,309.4812,62.0,3214.0,246
177,310.66281,36.5,1287.0,58
178,314.6134,25.90625,638.5,192
179,319.56407,48.09375,2102.0,245
180,321.49074,34.25,1093.0,94
181,322.71952,33.28125,984.5,66
182,327.07025,48.8125,1449.0,214
183,330.49106,35.1875,901.0,164
184,334.75784,49.875,2266.0,211
185,336.67512,30.0625,609.5,99
186,337.77471,31.453125,884.0,61
187,341.56081,36.15625,1271.0,188
188,346.17565,31.203125,863.0,226
189,349.0431,27.265625,679.5,152
190,351.11125,34.875,1022.0,115
191,355.75446,39.9375,1339.0,234
192,357.06815,26.71875,566.5,65
193,360.61062,24.75,803.5,173
194,364.39499,39.34375,1378.0,180
195,368.85932,42.28125,1348.0,206
196,373.13045,34.875,1260.0,205
197,374.35442,68.8125,4396.0,58
198,379.42768,27.546875,826.5,256
199,381.93369,42.3125,1435.0,132
200,387.11686,42.75,1653.0,260
201,392.07662,28.640625,1135.0,256
202,395.78046,33.96875,996.0,163
203,401.73762,29.484375,783.0,261
204,402.29028,70.625,4676.0,20
205,407.9152,27.796875,890.5,247
206,414.26163,29.90625,1024.0,270
207,422.30325,25.4375,548.0,329
208,425.27438,29.140625,711.5,135
209,430.57216,20.484375,621.0,243
210,435.10689,24.265625,440.25,220
211,440.42021,25.40625,385.75,240
212,442.53558,36.5,1139.0,90
213,444.08617,31.296875,722.5,78
214,445.16539,35.9375,1095.0,54
215,449.7639,16.15625,306.25,246
216,453.77975,19.53125,387.5,196
217,457.95737,17.453125,269.25,205
218,461.89998,21.234375,228.25,214
219,466.91028,11.2421875,168.625,241
220,468.15366,27.90625,660.0,59
221,471.9274,10.390625,105.25,205
222,477.08966,11.53125,194.75,254
223,482.54698,6.71875,175.125,221
224,483.89521,49.21875,1686.0,64
225,488.91406,14.46875,183.5,243
226,494.22507,18.484375,321.25,238
227,498.41309,10.7734375,54.5,205
228,503.28518,8.6171875,67.4375,232
229,504.26607,75.125,5132.0,42
230,509.01205,7.83984375,59.8125,218
231,515.63527,5.375,118.75,306
232,518.25201,28.875,990.5,135
233,522.78151,11.640625,95.375,243
234,527.33751,26.4375,722.5,243
235,532.6707,10.765625,45.1875,259
236,534.3451,31.875,741.5,82
237,539.11564,6.546875,49.34375,230
238,544.69524,5.7890625,79.75,258
239,549.887,8.4453125,109.75,250
240,553.01862,68.8125,3938.0,161
241,555.41961,11.265625,121.1875,124
242,560.74114,4.359375,42.96875,259
243,565.97743,6.84375,16.28125,264
244,569.89536,5.82421875,26.546875,211
245,572.04498,24.6875,500.0,107
246,576.54691,4.01171875,7.59375,226
247,581.28918,3.5390625,3.443359375,229
248,590.04033,-1.87890625,44.78125,431
249,595.47982,-2.189453125,4.3984375,253
250,602.86112,-1.0830078125,8.46875,350
251,606.51946,22.234375,529.0,159
252,610.00922,76.3125,5540.0,154
253,616.64816,4.3515625,33.15625,321
254,621.22757,7.98046875,12.3046875,232
255,625.99234,3.40234375,0.033538818359375,228
256,630.30288,15.5078125,68.6875,195
257,631.40392,78.4375,5156.0,50
258,637.12609,-1.9638671875,14.59375,274
259,638.66896,21.484375,369.25,65
260,643.50883,15.1953125,224.25,201
261,646.32383,73.8125,4916.0,102
262,652.80076,-0.91015625,4.9921875,266
263,657.57156,0.43212890625,4.8203125,223
264,663.06516,14.96875,232.125,257
265,665.1414,18.046875,292.75,107
266,668.84474,6.2265625,34.5,178
267,673.66211,14.5703125,253.5,222
268,676.94183,2.62109375,30.171875,161
269,680.6562,-7.58203125,134.75,195
270,684.39375,-13.3359375,16.46875,197
271,689.38945,28.125,652.5,239
272,694.17225,17.984375,315.5,207
273,699.22355,-7.44921875,0.001682281494140625,258
274,704.89337,0.7861328125,31.953125,281
275,708.9738,25.4375,809.5,187
276,714.79291,7.78125,1.9833984375,268
277,722.16887,7.28515625,194.25,337
278,727.24854,1.5546875,0.04742431640625,227
279,732.15007,89.5,6580.0,221
280,734.09749,30.265625,616.5,73
281,739.16394,-8.6484375,37.03125,247
282,741.66824,12.1640625,121.375,123
283,748.62813,68.4375,4736.0,319
284,752.47502,11.59375,133.875,157
285,757.9772,57.53125,3112.0,242
286,761.45367,72.6875,4192.0,143
287,764.58178,10.9140625,103.0,148
288,766.47321,11.3515625,132.25,92
289,770.36742,13.890625,181.0,172
290,773.42569,18.390625,445.5,126
291,775.77498,57.78125,3056.0,86
292,779.18585,66.625,3774.0,134
293,785.92464,9.359375,62.625,293
294,787.19033,30.609375,811.5,47
295,793.31747,3.78515625,1.875,272
296,797.7442,-0.8427734375,0.1131591796875,183
297,799.17258,69.25,4480.0,63
298,800.59563,59.78125,3206.0,76
299,806.08233,0.2462158203125,89.0625,269
300,811.39091,11.3515625,0.038909912109375,272
301,816.49148,5.10546875,56.59375,266
302,822.49313,1.1005859375,19.078125,299
303,828.50514,6.58984375,65.25,289
304,834.47411,32.75,694.0,292
305,839.63593,-1.681640625,55.5625,270
306,843.44634,68.4375,5220.0,184
307,846.98735,61.09375,3052.0,151
308,853.69493,4.9140625,20.5625,324
309,861.1126,2.84375,164.0,359
310,868.82257,15.4375,225.5,375
311,876.07714,13.7265625,123.4375,345
312,881.94729,13.8515625,256.0,275
313,887.89248,65.1875,3050.0,284
314,894.2141,7.515625,81.0,309
315,901.97405,7.88671875,64.0,376
316,908.57335,6.62890625,65.25,320
317,910.27296,79.1875,5512.0,85
318,915.9396,30.6875,835.5,273
319,920.54973,54.84375,1817.0,217
320,925.1817,9.3125,104.125,238
321,932.27609,-26.328125,30.34375,352
322,939.22275,5.5546875,42.1875,330
323,943.61628,11.515625,94.3125,203
324,949.64981,14.359375,244.625,295
325,956.48577,8.453125,139.375,359
326,963.06631,14.8828125,274.25,333
327,964.23852,76.0,4364.0,55
328,970.68455,22.421875,430.5,350
329,979.31142,19.71875,457.0,446
330,988.80504,51.5625,1585.0,500
331,993.25144,64.6875,2980.0,212
332,997.56756,9.1953125,63.25,199
333,1005.31462,-19.375,73.3125,378
334,1011.62409,9.7109375,128.875,307
335,1019.83472,10.2578125,241.75,402
336,1026.63181,17.15625,200.875,328
337,1027.87722,88.0,6580.0,58
338,1030.03428,2.171875,3.083984375,113
339,1039.05691,5.34375,156.25,432
340,1047.31229,11.9375,154.5,393
341,1050.95928,70.1875,3844.0,197
342,1060.11097,54.40625,2162.0,500
343,1069.96548,-6.859375,334.75,470
344,1073.28285,3.03125,8.546875,162
345,1077.63869,66.375,3582.0,227
346,1079.37041,11.46875,116.9375,89
347,1087.68743,2.109375,7.59375,406
348,1094.48544,36.15625,341.75,337
349,1102.637,-5.83984375,167.125,418
350,1111.90189,50.3125,2304.0,500
351,1121.72388,-16.171875,49.0,493
352,1127.90756,5.15625,48.34375,330
353,1128.96989,80.625,4864.0,57
354,1136.61216,8.6875,37.21875,361
355,1138.16447,85.125,6412.0,62
356,1148.34637,-7.55859375,131.5,484
357,1158.2466,8.125,77.9375,470
358,1167.77935,13.546875,52.4375,465
359,1172.23347,1.2861328125,1.4951171875,232
360,1176.51757,4.4296875,15.6875,208
361,1185.26988,4.67578125,6.91015625,434
362,1187.43745,76.6875,4608.0,75
363,1190.65132,3.037109375,6.22265625,169
364,1192.29399,74.25,4884.0,89
365,1200.66391,-5.27734375,1.5849609375,400
366,1202.6343,7.91015625,36.9375,92
367,1210.46641,-8.234375,18.265625,397
368,1217.72624,8.9375,173.75,375
369,1219.97464,15.125,171.0,121
370,1226.83924,7.65625,58.03125,375
371,1233.33487,8.921875,52.21875,350
372,1243.12585,6.91015625,1.9775390625,447
373,1244.97996,-1.8486328125,2.0,79
374,1249.63256,15.03125,291.25,217
375,1258.14184,-0.9443359375,0.08642578125,377
376,1268.45378,84.5625,5872.0,500
377,1278.64094,39.96875,642.5,500
378,1280.16039,73.1875,4016.0,74
379,1290.29706,67.375,4152.0,500
380,1300.24029,-0.55126953125,0.8134765625,464
381,1305.4555,5.875,26.03125,242
382,1313.47322,-1.29296875,0.10418701171875,372
383,1317.65547,2.38671875,2.38671875,199
384,1324.29584,77.4375,5376.0,325
385,1333.9703,9.1875,137.5,428
386,1337.104,0.15625,0.042266845703125,139
387,1347.89598,-23.75,55.90625,500
388,1358.59493,45.6875,760.5,500
389,1368.77032,70.625,4600.0,500
390,1373.25612,-3.048828125,9.9375,198
391,1381.48495,-28.3125,141.25,373
392,1391.79737,33.75,693.0,500
393,1402.10812,67.5,1160.0,500
394,1412.52988,79.1875,6972.0,500
395,1423.49226,-21.015625,235.0,471
396,1428.92341,90.25,7004.0,253
397,1439.71612,6.84765625,298.0,500
398,1442.61094,8.5390625,33.78125,134
399,1453.5794,70.8125,4944.0,500
400,1464.08815,74.0625,5024.0,500
